Signature,Accuracy,AUC,95% CI,Sensitivity,Specificity,PPV,NPV,Survival,Cohort
risk,0.6666666666666666,0.8,1.0000 - 1.0000,0.0,0.799999840000032,0.0,0.799999840000032,4-year,External C
risk,0.967741935483871,0.9619047619047618,0.8870 - 1.0000,0.8999999550000022,0.9999999761904769,0.9999999444444475,0.9545454328512403,5-year,Training
risk,0.8421052631578947,0.8777777777777778,0.6605 - 1.0000,0.7999999200000081,0.8888887901234679,0.8888887901234679,0.7999999200000081,5-year,Internal
risk,0.9272727272727272,0.9356725146198829,0.8614 - 1.0000,0.7894736426592819,0.999999972222223,0.9999999333333378,0.8999999775000006,5-year,External A
risk,0.8333333333333334,1.0,1.0000 - 1.0000,0.0,0.99999980000004,0.0,0.8333331944444675,5-year,External B
risk,0.6666666666666666,0.8,1.0000 - 1.0000,0.0,0.799999840000032,0.0,0.799999840000032,5-year,External C
risk,0.8685897435897436,0.9597426470588233,0.9390 - 0.9805,0.8529411733347751,0.9749999756250006,0.9957081502330123,0.4936708798269509,1-year,Training
risk,0.9733333333333334,0.9986772486772484,0.9950 - 1.0000,0.9682539528848579,0.9999999166666736,0.9999999836065577,0.8571427959183717,1-year,Internal
risk,0.9666666666666667,0.9683333333333333,0.9303 - 1.0000,0.9833333251388889,0.899999970000001,0.9752066035106892,0.9310344506539844,1-year,External A
risk,0.7894736842105263,0.8737060041407867,0.7196 - 1.0000,0.7826086843100191,0.857142734693895,0.9818181639669425,0.28571427210884415,1-year,External B
risk,0.6190476190476191,0.7105263157894735,0.4668 - 0.9543,0.5789473379501401,0.99999950000025,0.9999999090909174,0.19999998000000202,1-year,External C
risk,0.9012345679012346,0.9601929167866398,0.9373 - 0.9831,0.9205297952282795,0.8695652079395086,0.9205297952282795,0.8695652079395086,2-year,Training
risk,0.9206349206349206,0.9375,0.8338 - 1.0000,0.9166666475694449,0.9333332711111153,0.9777777560493832,0.7777777345679036,2-year,Internal
risk,0.8103448275862069,0.8814016172506737,0.8187 - 0.9441,0.904761890400605,0.6981131943752228,0.7808219071120287,0.8604650962682536,2-year,External A
risk,0.6909090909090909,0.732456140350877,0.5936 - 0.8714,0.6388888711419759,0.7894736426592819,0.8518518203017844,0.5357142665816333,2-year,External B
risk,0.7857142857142857,0.911111111111111,0.7556 - 1.0000,0.6666665925926009,0.99999980000004,0.9999998333333611,0.6249999218750099,2-year,External C
risk,0.8817733990147784,0.9607038123167158,0.9378 - 0.9836,0.9032257967395075,0.8636363557851241,0.8484848399142946,0.9134615296782546,3-year,Training
risk,0.875,0.896551724137931,0.7863 - 1.0000,0.8965516932223554,0.8421052188365674,0.8965516932223554,0.8421052188365674,3-year,Internal
risk,0.79,0.8957307060755336,0.8359 - 0.9556,0.952380929705216,0.6724137815101072,0.6779660902039646,0.9512194889946467,3-year,External A
risk,0.6585365853658537,0.700956937799043,0.5401 - 0.8619,0.26315788088642733,0.9999999545454565,0.99999980000004,0.611111094135803,3-year,External B
risk,0.7272727272727273,0.8,1.0000 - 1.0000,0.0,0.7999999200000081,0.0,0.8888887901234679,3-year,External C
risk,0.9024390243902439,0.9620486366985997,0.9352 - 0.9889,0.8695651984877131,0.9152542295317438,0.7999999840000004,0.9473684127423824,4-year,Training
risk,0.775,0.8874680306905371,0.7875 - 0.9874,0.9411764152249167,0.6521738846880919,0.66666663888889,0.9374999414062536,4-year,Internal
risk,0.8064516129032258,0.8998005982053839,0.8384 - 0.9612,0.8235293875432533,0.7966101559896585,0.6999999825000005,0.886792436098256,4-year,External A
risk,0.5,0.6590909090909091,0.3680 - 0.9502,0.7499998125000469,0.4545454338842984,0.19999998666666757,0.9090908264462886,4-year,External B
risk,0.7272727272727273,0.8,1.0000 - 1.0000,0.0,0.7999999200000081,0.0,0.8888887901234679,4-year,External C
risk,0.8582089552238806,0.9535918626827717,0.9070 - 1.0000,0.8461537810650938,0.8595041251280651,0.3928571288265311,0.9811320662157352,5-year,Training
risk,0.6857142857142857,0.804,0.6592 - 0.9488,0.8999999100000091,0.599999976000001,0.47368418559556913,0.9374999414062536,5-year,Internal
risk,0.810126582278481,0.8769230769230769,0.7800 - 0.9739,0.7857142295918408,0.815384602840237,0.4782608487712674,0.9464285545280615,5-year,External A
risk,0.7272727272727273,0.8,1.0000 - 1.0000,0.0,0.7999999200000081,0.0,0.8888887901234679,5-year,External C
